"region","requests"
"Anonymous Proxy","2"
"United Arab Emirates","171"
"Albania","4"
"Argentina","51"
"Austria","74"
"Australia","1929"
"Aland Islands","4"
"Bosnia and Herzegovina","6"
"Barbados","3"
"Bangladesh","5"
"Belgium","148"
"Bulgaria","20"
"Bahrain","31"
"Bermuda","25"
"Bolivia","9"
"Brazil","236"
"Bahamas","6"
"Belarus","31"
"Belize","2"
"Canada","1747"
"Switzerland","324"
"Chile","126"
"China","191"
"Colombia","34"
"Costa Rica","93"
"Cyprus","16"
"Czech Republic","159"
"Germany","632"
"Denmark","102"
"Dominican Republic","8"
"Algeria","1"
"Ecuador","9"
"Estonia","16"
"Egypt","10"
"Spain","209"
"Europe","8"
"Finland","35"
"France","136"
"United Kingdom","1974"
"Georgia","2"
"Ghana","16"
"Gibraltar","5"
"Guadeloupe","3"
"Greece","9"
"Guatemala","6"
"Guam","1"
"Hong Kong","146"
"Croatia","30"
"Haiti","7"
"Hungary","13"
"Indonesia","23"
"Ireland","150"
"Israel","68"
"Isle of Man","9"
"India","138"
"Iraq","1"
"Iran Islamic Republic of","4"
"Iceland","104"
"Italy","49"
"Jordan","1"
"Japan","289"
"Kenya","11"
"Cambodia","8"
"Korea Republic of","111"
"Kuwait","6"
"Lebanon","2"
"Sri Lanka","1"
"Liberia","3"
"Lithuania","21"
"Luxembourg","6"
"Latvia","14"
"Morocco","6"
"Monaco","3"
"Moldova Republic of","4"
"Myanmar","7"
"Macau","14"
"Malta","6"
"Mauritius","2"
"Mexico","101"
"Malaysia","65"
"Nigeria","6"
"Nicaragua","2"
"Netherlands","425"
"Norway","241"
"New Zealand","245"
"Oman","1"
"Panama","10"
"Peru","16"
"French Polynesia","2"
"Philippines","60"
"Pakistan","5"
"Poland","62"
"Puerto Rico","6"
"Portugal","73"
"Qatar","18"
"Romania","11"
"Serbia","17"
"Russian Federation","87"
"Saudi Arabia","25"
"Sweden","366"
"Singapore","118"
"Slovenia","66"
"Slovakia","20"
"Thailand","214"
"Turkey","79"
"Taiwan","37"
"Ukraine","26"
"Uganda","1"
"United States","16387"
"Uruguay","4"
"Venezuela","15"
"Virgin Islands U.S.","5"
"Vietnam","54"
"South Africa","183"
