"region","requests"
"Anonymous Proxy","12"
"United Arab Emirates","39"
"Albania","3"
"Argentina","16"
"Austria","62"
"Australia","1407"
"Aruba","2"
"Aland Islands","2"
"Bosnia and Herzegovina","5"
"Barbados","2"
"Belgium","99"
"Bulgaria","26"
"Bermuda","16"
"Bolivia","2"
"Brazil","321"
"Bahamas","2"
"Belarus","11"
"Belize","3"
"Canada","1196"
"Switzerland","124"
"Cote D'Ivoire","21"
"Chile","13"
"China","42"
"Colombia","17"
"Costa Rica","8"
"Cyprus","12"
"Czech Republic","39"
"Germany","553"
"Denmark","151"
"Dominican Republic","4"
"Ecuador","2"
"Estonia","24"
"Egypt","12"
"Spain","174"
"Europe","1"
"Finland","33"
"France","134"
"United Kingdom","1214"
"Georgia","8"
"Ghana","7"
"Gibraltar","2"
"Greece","15"
"Hong Kong","100"
"Croatia","10"
"Hungary","6"
"Indonesia","21"
"Ireland","137"
"Israel","113"
"Isle of Man","8"
"India","113"
"Iraq","2"
"Iran Islamic Republic of","6"
"Iceland","8"
"Italy","87"
"Jersey","7"
"Jamaica","5"
"Japan","215"
"Kenya","18"
"Cambodia","6"
"Korea Republic of","42"
"Kuwait","5"
"Sri Lanka","2"
"Lithuania","9"
"Luxembourg","11"
"Latvia","5"
"Morocco","6"
"Monaco","2"
"Moldova Republic of","2"
"Myanmar","9"
"Mongolia","1"
"Macau","198"
"Mauritania","1"
"Malta","11"
"Mexico","23"
"Malaysia","29"
"Nigeria","5"
"Netherlands","386"
"Norway","332"
"Nepal","1"
"New Zealand","142"
"Panama","1"
"Peru","15"
"Philippines","84"
"Pakistan","4"
"Poland","41"
"Puerto Rico","7"
"Palestinian Territory","1"
"Portugal","30"
"Paraguay","3"
"Qatar","45"
"Romania","13"
"Serbia","9"
"Russian Federation","53"
"Saudi Arabia","25"
"Sweden","363"
"Singapore","127"
"Slovenia","55"
"Slovakia","4"
"Turks and Caicos Islands","2"
"Thailand","84"
"Turkey","21"
"Trinidad and Tobago","4"
"Taiwan","46"
"Ukraine","6"
"United States","13810"
"Uruguay","2"
"Uzbekistan","1"
"Venezuela","11"
"Vietnam","80"
"South Africa","324"
"Zambia","1"
