"region","requests"
"Anonymous Proxy","12"
"United Arab Emirates","69"
"Afghanistan","1"
"Antigua and Barbuda","1"
"Albania","5"
"Armenia","1"
"Argentina","23"
"Austria","130"
"Australia","1578"
"Aland Islands","5"
"Azerbaijan","2"
"Bosnia and Herzegovina","1"
"Barbados","5"
"Bangladesh","15"
"Belgium","165"
"Bulgaria","55"
"Benin","2"
"Bermuda","27"
"Bolivia","9"
"Brazil","177"
"Bahamas","9"
"Botswana","1"
"Belarus","6"
"Canada","1652"
"Switzerland","199"
"Chile","25"
"China","80"
"Colombia","30"
"Costa Rica","100"
"Cuba","8"
"Cyprus","19"
"Czech Republic","117"
"Germany","688"
"Denmark","79"
"Dominican Republic","3"
"Algeria","1"
"Ecuador","7"
"Estonia","22"
"Egypt","6"
"Spain","422"
"Europe","25"
"Finland","50"
"France","182"
"United Kingdom","2191"
"Georgia","5"
"Ghana","13"
"Gibraltar","6"
"Greenland","2"
"Greece","16"
"Guam","4"
"Hong Kong","124"
"Honduras","2"
"Croatia","22"
"Haiti","2"
"Hungary","11"
"Indonesia","33"
"Ireland","270"
"Israel","117"
"Isle of Man","12"
"India","154"
"Iraq","6"
"Iran Islamic Republic of","2"
"Iceland","18"
"Italy","131"
"Jamaica","11"
"Japan","339"
"Kenya","12"
"Cambodia","16"
"Korea Republic of","82"
"Kuwait","16"
"Cayman Islands","2"
"Kazakhstan","2"
"Liechtenstein","3"
"Sri Lanka","5"
"Lesotho","10"
"Lithuania","5"
"Luxembourg","13"
"Latvia","9"
"Morocco","1"
"Monaco","2"
"Moldova Republic of","6"
"Mali","1"
"Macau","27"
"Malta","9"
"Malawi","1"
"Mexico","80"
"Malaysia","68"
"New Caledonia","2"
"Nigeria","10"
"Nicaragua","1"
"Netherlands","510"
"Norway","226"
"New Zealand","243"
"Oman","1"
"Panama","10"
"Peru","2"
"Philippines","75"
"Pakistan","3"
"Poland","119"
"Puerto Rico","5"
"Portugal","60"
"Paraguay","3"
"Qatar","16"
"Romania","68"
"Serbia","15"
"Russian Federation","82"
"Rwanda","2"
"Saudi Arabia","35"
"Sweden","318"
"Singapore","147"
"Slovenia","64"
"Slovakia","30"
"Swaziland","4"
"Togo","1"
"Thailand","187"
"Tunisia","1"
"Turkey","91"
"Taiwan","72"
"Ukraine","53"
"Uganda","1"
"United States","17724"
"Uruguay","8"
"Venezuela","9"
"Vietnam","69"
"South Africa","352"
"Zimbabwe","1"
