"country_name","total_downloads"
"",1367
"Anonymous Proxy",1065
"Andorra",5
"United Arab Emirates",234
"Afghanistan",4
"Antigua and Barbuda",4
"Armenia",4
"Asia/Pacific Region",6
"Argentina",428
"Austria",526
"Australia",6154
"Aruba",11
"Aland Islands",1
"Azerbaijan",53
"Bosnia and Herzegovina",11
"Barbados",149
"Bangladesh",6
"Belgium",560
"Bulgaria",256
"Bahrain",10
"Bermuda",159
"Bolivia",7
"Bonaire, Saint Eustatius and Saba",5
"Brazil",3493
"Bahamas",9
"Bhutan",4
"Botswana",9
"Belarus",60
"Belize",5
"Canada",8729
"Switzerland",1491
"Cote D'Ivoire",417
"Chile",571
"Cameroon",63
"China",1366
"Colombia",384
"Costa Rica",174
"Cuba",2
"Cape Verde",32
"Curaï¿½ao",12
"Cyprus",85
"Czech Republic",529
"Germany",5341
"Denmark",384
"Dominican Republic",89
"Algeria",8
"Ecuador",160
"Estonia",89
"Egypt",38
"Spain",1419
"Europe",62
"Finland",566
"Faroe Islands",7
"France",13593
"United Kingdom",10522
"Georgia",49
"Guernsey",4
"Ghana",33
"Gibraltar",19
"Greenland",48
"Guadeloupe",4
"Greece",139
"Guatemala",115
"Guam",4
"Hong Kong",578
"Honduras",4
"Croatia",282
"Haiti",5
"Hungary",85
"Indonesia",287
"Ireland",869
"Israel",536
"Isle of Man",15
"India",1995
"Iraq",9
"Iran, Islamic Republic of",40
"Iceland",104
"Italy",810
"Jamaica",11
"Jordan",3
"Japan",1325
"Kenya",124
"Kyrgyzstan",12
"Cambodia",114
"Korea, Republic of",952
"Kuwait",15
"Cayman Islands",44
"Kazakhstan",35
"Lao People's Democratic Republic",2
"Lebanon",14
"Liechtenstein",31
"Sri Lanka",26
"Liberia",2
"Lithuania",112
"Luxembourg",114
"Latvia",160
"Morocco",33
"Monaco",147
"Moldova, Republic of",11
"Macedonia",5
"Myanmar",6
"Mongolia",26
"Macau",11
"Martinique",1
"Malta",86
"Mauritius",20
"Maldives",4
"Mexico",752
"Malaysia",316
"Nigeria",219
"Nicaragua",58
"Netherlands",3815
"Norway",1151
"Nepal",15
"New Zealand",706
"Oman",3
"Panama",15
"Peru",214
"Papua New Guinea",203
"Philippines",306
"Pakistan",123
"Poland",537
"Puerto Rico",75
"Palestinian Territory",2
"Portugal",338
"Paraguay",21
"Qatar",14
"Reunion",1
"Romania",380
"Serbia",153
"Russian Federation",370
"Rwanda",81
"Saudi Arabia",123
"Seychelles",11
"Sweden",4463
"Singapore",1087
"Slovenia",863
"Slovakia",84
"Sierra Leone",2
"Senegal",2
"Suriname",1
"El Salvador",10
"Sint Maarten (Dutch part)",1
"Thailand",540
"Tunisia",8
"Turkey",121
"Trinidad and Tobago",22
"Taiwan",430
"Tanzania, United Republic of",202
"Ukraine",438
"Uganda",2
"United States",98999
"Uruguay",16
"Venezuela",150
"Virgin Islands, British",3
"Vietnam",185
"Samoa",1
"South Africa",1254
"Zambia",8
"Zimbabwe",17
