"item_title","release_date","downloads__may","downloads__april","downloads__march","downloads__total"
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",477,0,0,477
"TBP60 - Release the Kraken","2016-05-23 03:32:09",1474,0,0,1474
"TBP59 - Incredible India","2016-05-16 15:40:00",744,0,0,744
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",1411,0,0,1411
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",1730,0,0,1730
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",614,0,0,614
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",207,636,0,843
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",64,498,0,562
"TBP53 - Tough Math","2016-04-17 16:24:01",94,924,0,1018
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",50,486,0,536
"TBP51 - Such Wow","2016-04-10 17:09:46",46,468,0,514
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",30,643,0,673
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",39,413,253,705
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",43,77,460,580
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",29,34,399,462
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",33,40,637,710
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",32,53,477,562
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",33,25,446,504
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",28,41,264,568
"TBP42 - True Micropayments","2016-02-21 23:13:15",24,17,98,703
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",23,18,42,501
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",33,16,100,1126
"TBP39 - Running the Gamut","2016-02-07 20:14:46",17,7,112,781
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",17,10,25,548
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",16,12,24,520
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",14,6,24,492
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",22,18,66,968
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",17,12,20,729
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",24,7,13,606
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",23,7,18,670
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",12,21,23,426
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",10,3,10,437
"TBP29 - Take the Power Back","2015-12-06 16:35:49",15,34,18,536
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",31,5,25,517
"TBP27 - London Calling","2015-11-22 16:30:21",11,3,18,517
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",17,2,17,470
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",12,6,5,404
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",19,11,15,570
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",11,5,3,338
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",17,3,4,276
"TBP21 - Call For Papers","2015-10-10 13:06:37",11,3,4,316
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",20,11,10,321
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",17,2,4,365
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",9,3,2,345
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",10,2,6,451
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",13,6,10,374
"TBP15 - Ants Marching","2015-08-30 19:31:14",12,5,3,339
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",12,6,5,484
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",10,4,2,394
"TBP12 - Boring Economics","2015-08-08 00:53:49",13,7,3,550
"TBP11 - The End of Money","2015-08-03 04:12:02",20,6,7,495
"TBP10 - Bottoms Up","2015-07-24 13:32:59",10,6,5,403
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",13,7,7,450
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",12,6,70,522
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",11,5,6,428
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",11,5,16,390
"TBP05 - The World's Strongest","2015-06-28 22:55:15",18,14,5,452
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",25,32,5,537
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",24,19,4,507
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",36,20,15,568
"Episode #1 - Introduction","2015-06-01 00:34:44",56,55,37,851
