"region","requests"
"Anonymous Proxy","12"
"United Arab Emirates","83"
"Afghanistan","1"
"Antigua and Barbuda","1"
"Albania","6"
"Armenia","3"
"Argentina","132"
"Austria","129"
"Australia","1493"
"Aland Islands","5"
"Bosnia and Herzegovina","1"
"Barbados","5"
"Bangladesh","17"
"Belgium","207"
"Bulgaria","55"
"Bahrain","5"
"Benin","2"
"Bermuda","31"
"Bolivia","11"
"Brazil","191"
"Bahamas","9"
"Botswana","1"
"Belarus","7"
"Canada","1660"
"Switzerland","196"
"Chile","26"
"China","93"
"Colombia","34"
"Costa Rica","104"
"Cuba","6"
"Cyprus","19"
"Czech Republic","130"
"Germany","693"
"Denmark","81"
"Dominican Republic","3"
"Algeria","1"
"Ecuador","5"
"Estonia","21"
"Egypt","9"
"Spain","433"
"Europe","7"
"Finland","50"
"France","173"
"United Kingdom","1963"
"Georgia","2"
"Ghana","9"
"Gibraltar","7"
"Greenland","1"
"Greece","14"
"Guam","4"
"Hong Kong","124"
"Honduras","2"
"Croatia","25"
"Haiti","5"
"Hungary","10"
"Indonesia","26"
"Ireland","261"
"Israel","103"
"Isle of Man","34"
"India","167"
"Iraq","9"
"Iran Islamic Republic of","1"
"Iceland","18"
"Italy","106"
"Japan","292"
"Kenya","18"
"Cambodia","17"
"Korea Republic of","86"
"Kuwait","12"
"Cayman Islands","2"
"Kazakhstan","3"
"Lao People's Democratic Republic","1"
"Liechtenstein","3"
"Sri Lanka","9"
"Lesotho","10"
"Lithuania","2"
"Luxembourg","11"
"Latvia","10"
"Morocco","3"
"Monaco","2"
"Moldova Republic of","7"
"Mali","2"
"Macau","24"
"Malta","8"
"Malawi","1"
"Mexico","86"
"Malaysia","141"
"Namibia","2"
"New Caledonia","2"
"Nigeria","11"
"Nicaragua","1"
"Netherlands","499"
"Norway","231"
"New Zealand","255"
"Oman","1"
"Panama","9"
"Peru","3"
"Philippines","89"
"Pakistan","9"
"Poland","124"
"Puerto Rico","7"
"Portugal","56"
"Paraguay","3"
"Qatar","17"
"Romania","59"
"Serbia","15"
"Russian Federation","95"
"Rwanda","2"
"Saudi Arabia","40"
"Sweden","314"
"Singapore","130"
"Slovenia","63"
"Slovakia","34"
"Swaziland","4"
"Togo","2"
"Thailand","181"
"Tunisia","1"
"Turkey","95"
"Taiwan","66"
"Ukraine","48"
"Uganda","1"
"United States","17744"
"Uruguay","10"
"Uzbekistan","2"
"Venezuela","7"
"Vietnam","82"
"South Africa","231"
