"region","requests"
"Anonymous Proxy","14"
"Andorra","12"
"United Arab Emirates","88"
"Albania","12"
"Argentina","43"
"Austria","90"
"Australia","2473"
"Aruba","1"
"Aland Islands","8"
"Bosnia and Herzegovina","4"
"Barbados","7"
"Bangladesh","11"
"Belgium","141"
"Bulgaria","51"
"Bahrain","1"
"Bermuda","62"
"Bolivia","9"
"Bonaire Saint Eustatius and Saba","15"
"Brazil","232"
"Bahamas","13"
"Belarus","29"
"Canada","2242"
"Switzerland","270"
"Chile","31"
"China","157"
"Colombia","126"
"Costa Rica","103"
"Cuba","11"
"Cyprus","20"
"Czech Republic","160"
"Germany","1123"
"Denmark","91"
"Dominican Republic","25"
"Algeria","5"
"Ecuador","13"
"Estonia","33"
"Egypt","22"
"Spain","459"
"Europe","110"
"Finland","55"
"France","307"
"United Kingdom","2738"
"Georgia","1"
"Ghana","29"
"Gibraltar","2"
"Greenland","2"
"Greece","22"
"Guatemala","1"
"Guam","13"
"Hong Kong","180"
"Croatia","40"
"Hungary","19"
"Indonesia","25"
"Ireland","271"
"Israel","109"
"Isle of Man","15"
"India","350"
"Iran Islamic Republic of","1"
"Iceland","19"
"Italy","182"
"Japan","373"
"Kenya","118"
"Kyrgyzstan","1"
"Cambodia","41"
"Korea Republic of","89"
"Kuwait","7"
"Cayman Islands","4"
"Sri Lanka","8"
"Lesotho","13"
"Lithuania","127"
"Luxembourg","22"
"Latvia","22"
"Morocco","10"
"Monaco","3"
"Moldova Republic of","10"
"Myanmar","1"
"Macau","18"
"Montserrat","2"
"Malta","26"
"Mexico","115"
"Malaysia","107"
"Namibia","1"
"Nigeria","6"
"Netherlands","841"
"Norway","455"
"Nepal","10"
"New Zealand","382"
"Panama","26"
"Peru","14"
"Philippines","101"
"Pakistan","13"
"Poland","112"
"Puerto Rico","16"
"Portugal","111"
"Qatar","20"
"Romania","211"
"Serbia","13"
"Russian Federation","126"
"Saudi Arabia","39"
"Sweden","367"
"Singapore","252"
"Slovenia","66"
"Slovakia","49"
"Thailand","182"
"Turkey","114"
"Taiwan","96"
"Tanzania United Republic of","9"
"Ukraine","64"
"United States","25474"
"Uruguay","8"
"Venezuela","5"
"Vietnam","109"
"South Africa","453"
"Zambia","2"
