"region","requests"
"Anonymous Proxy","5"
"United Arab Emirates","57"
"Albania","5"
"Argentina","47"
"Austria","49"
"Australia","1735"
"Aruba","1"
"Aland Islands","6"
"Bosnia and Herzegovina","9"
"Barbados","3"
"Bangladesh","3"
"Belgium","132"
"Bulgaria","42"
"Bermuda","48"
"Bolivia","6"
"Brazil","399"
"Bahamas","2"
"Belarus","10"
"Canada","1550"
"Switzerland","134"
"Cote D'Ivoire","105"
"Chile","78"
"China","75"
"Colombia","25"
"Costa Rica","168"
"Curaao","15"
"Cyprus","25"
"Czech Republic","61"
"Germany","1014"
"Denmark","115"
"Dominican Republic","4"
"Ecuador","9"
"Estonia","15"
"Egypt","91"
"Spain","266"
"Europe","2"
"Finland","28"
"France","265"
"United Kingdom","1671"
"Georgia","2"
"Ghana","18"
"Gibraltar","4"
"Greece","29"
"Guatemala","2"
"Hong Kong","80"
"Croatia","33"
"Haiti","27"
"Hungary","9"
"Indonesia","37"
"Ireland","198"
"Israel","101"
"Isle of Man","15"
"India","163"
"Iran Islamic Republic of","2"
"Iceland","26"
"Italy","185"
"Jamaica","9"
"Japan","352"
"Kenya","10"
"Cambodia","19"
"Korea Republic of","74"
"Kuwait","1"
"Cayman Islands","5"
"Kazakhstan","3"
"Lebanon","5"
"Lithuania","19"
"Luxembourg","34"
"Latvia","11"
"Morocco","8"
"Monaco","1"
"Moldova Republic of","4"
"Myanmar","8"
"Macau","31"
"Malta","7"
"Mauritius","6"
"Mexico","66"
"Malaysia","46"
"Namibia","2"
"Nigeria","11"
"Netherlands","509"
"Norway","330"
"Nepal","1"
"New Zealand","156"
"Oman","1"
"Panama","7"
"Peru","21"
"French Polynesia","5"
"Papua New Guinea","8"
"Philippines","78"
"Pakistan","2"
"Poland","110"
"Puerto Rico","8"
"Portugal","39"
"Qatar","20"
"Romania","38"
"Serbia","10"
"Russian Federation","59"
"Saudi Arabia","24"
"Sweden","493"
"Singapore","188"
"Slovenia","64"
"Slovakia","17"
"El Salvador","2"
"Sint Maarten (Dutch part)","1"
"Thailand","109"
"Turkey","113"
"Taiwan","88"
"Tanzania United Republic of","1"
"Ukraine","31"
"Uganda","9"
"United States","19302"
"Uruguay","2"
"Venezuela","8"
"Vietnam","52"
"South Africa","250"
"Zambia","4"
