"region","requests"
"Anonymous Proxy","7"
"United Arab Emirates","125"
"Albania","2"
"Argentina","40"
"Austria","63"
"Australia","1689"
"Aruba","1"
"Aland Islands","5"
"Bosnia and Herzegovina","20"
"Barbados","5"
"Bangladesh","8"
"Belgium","118"
"Bulgaria","36"
"Bahrain","3"
"Bermuda","34"
"Bolivia","10"
"Brazil","389"
"Bahamas","181"
"Belarus","8"
"Belize","2"
"Canada","1711"
"Switzerland","167"
"Chile","51"
"China","128"
"Colombia","18"
"Costa Rica","100"
"Cuba","1"
"Curaao","5"
"Cyprus","21"
"Czech Republic","145"
"Germany","868"
"Denmark","84"
"Dominican Republic","5"
"Ecuador","14"
"Estonia","32"
"Egypt","37"
"Spain","324"
"Europe","6"
"Finland","30"
"France","221"
"United Kingdom","1623"
"Georgia","3"
"Ghana","14"
"Gibraltar","1"
"Gambia","1"
"Guadeloupe","6"
"Greece","37"
"Guatemala","1"
"Hong Kong","113"
"Croatia","39"
"Haiti","27"
"Hungary","2"
"Indonesia","15"
"Ireland","174"
"Israel","97"
"Isle of Man","19"
"India","228"
"Iraq","4"
"Iran Islamic Republic of","4"
"Iceland","19"
"Italy","85"
"Jamaica","9"
"Jordan","4"
"Japan","250"
"Kenya","134"
"Cambodia","8"
"Korea Republic of","58"
"Kuwait","4"
"Cayman Islands","4"
"Kazakhstan","2"
"Lebanon","4"
"Saint Lucia","5"
"Sri Lanka","4"
"Lithuania","25"
"Luxembourg","18"
"Latvia","11"
"Morocco","6"
"Monaco","3"
"Moldova Republic of","6"
"Myanmar","3"
"Mongolia","3"
"Macau","14"
"Malta","6"
"Mauritius","2"
"Mexico","275"
"Malaysia","60"
"Nigeria","6"
"Netherlands","532"
"Norway","184"
"Nepal","3"
"New Zealand","180"
"Oman","2"
"Panama","6"
"Peru","21"
"French Polynesia","12"
"Papua New Guinea","1"
"Philippines","118"
"Pakistan","22"
"Poland","148"
"Puerto Rico","12"
"Portugal","63"
"Qatar","13"
"Romania","155"
"Serbia","24"
"Russian Federation","83"
"Saudi Arabia","51"
"Sudan","2"
"Sweden","259"
"Singapore","221"
"Slovenia","130"
"Slovakia","33"
"El Salvador","5"
"Thailand","104"
"Turkey","93"
"Trinidad and Tobago","6"
"Taiwan","53"
"Ukraine","118"
"Uganda","8"
"United States","19946"
"Uruguay","2"
"Venezuela","5"
"Vietnam","64"
"South Africa","176"
