"region","requests"
"Anonymous Proxy","7"
"United Arab Emirates","126"
"Albania","5"
"Argentina","55"
"Austria","46"
"Australia","1892"
"Aruba","1"
"Aland Islands","6"
"Bosnia and Herzegovina","16"
"Barbados","7"
"Bangladesh","3"
"Belgium","98"
"Bulgaria","38"
"Bermuda","52"
"Bolivia","6"
"Brazil","375"
"Bahamas","4"
"Belarus","13"
"Canada","1780"
"Switzerland","163"
"Cote D'Ivoire","84"
"Chile","81"
"China","82"
"Colombia","30"
"Costa Rica","150"
"Curaao","6"
"Cyprus","25"
"Czech Republic","96"
"Germany","1169"
"Denmark","117"
"Dominican Republic","4"
"Ecuador","11"
"Estonia","18"
"Egypt","94"
"Spain","282"
"Europe","6"
"Finland","39"
"France","308"
"United Kingdom","1725"
"Georgia","2"
"Ghana","20"
"Gibraltar","3"
"Greece","43"
"Guatemala","2"
"Hong Kong","96"
"Croatia","35"
"Haiti","27"
"Hungary","8"
"Indonesia","33"
"Ireland","195"
"Israel","102"
"Isle of Man","17"
"India","168"
"Iran Islamic Republic of","2"
"Iceland","27"
"Italy","188"
"Jamaica","11"
"Jordan","3"
"Japan","376"
"Kenya","9"
"Cambodia","21"
"Korea Republic of","85"
"Cayman Islands","7"
"Kazakhstan","3"
"Lebanon","5"
"Lithuania","19"
"Luxembourg","35"
"Latvia","12"
"Morocco","9"
"Monaco","1"
"Moldova Republic of","6"
"Myanmar","9"
"Macau","37"
"Malta","7"
"Mauritius","6"
"Mexico","93"
"Malaysia","47"
"Namibia","2"
"Nigeria","11"
"Netherlands","567"
"Norway","349"
"Nepal","1"
"New Zealand","181"
"Oman","1"
"Panama","6"
"Peru","27"
"French Polynesia","6"
"Papua New Guinea","8"
"Philippines","81"
"Pakistan","2"
"Poland","117"
"Puerto Rico","11"
"Portugal","60"
"Qatar","21"
"Romania","41"
"Serbia","13"
"Russian Federation","62"
"Saudi Arabia","36"
"Sudan","2"
"Sweden","425"
"Singapore","209"
"Slovenia","55"
"Slovakia","16"
"El Salvador","2"
"Sint Maarten (Dutch part)","1"
"Thailand","122"
"Turkey","121"
"Trinidad and Tobago","2"
"Taiwan","88"
"Tanzania United Republic of","1"
"Ukraine","26"
"Uganda","13"
"United States","21169"
"Uruguay","2"
"Venezuela","8"
"Vietnam","61"
"South Africa","240"
"Zambia","4"
