"region","requests"
"Anonymous Proxy","2"
"United Arab Emirates","175"
"Albania","4"
"Argentina","51"
"Austria","75"
"Australia","1848"
"Aland Islands","4"
"Bosnia and Herzegovina","6"
"Barbados","3"
"Bangladesh","4"
"Belgium","127"
"Bulgaria","18"
"Bahrain","31"
"Bermuda","27"
"Bolivia","7"
"Brazil","231"
"Bahamas","8"
"Belarus","30"
"Canada","1709"
"Switzerland","281"
"Chile","123"
"China","186"
"Colombia","34"
"Costa Rica","114"
"Cyprus","17"
"Czech Republic","186"
"Germany","714"
"Denmark","105"
"Dominican Republic","6"
"Algeria","1"
"Ecuador","10"
"Estonia","16"
"Egypt","11"
"Spain","212"
"Ethiopia","1"
"Europe","8"
"Finland","41"
"France","139"
"United Kingdom","2050"
"Georgia","3"
"Ghana","16"
"Gibraltar","1"
"Guadeloupe","3"
"Greece","30"
"Guatemala","8"
"Guam","1"
"Hong Kong","141"
"Croatia","34"
"Haiti","30"
"Hungary","12"
"Indonesia","25"
"Ireland","167"
"Israel","67"
"Isle of Man","13"
"India","151"
"Iraq","2"
"Iran Islamic Republic of","4"
"Iceland","190"
"Italy","59"
"Japan","308"
"Kenya","16"
"Cambodia","8"
"Korea Republic of","65"
"Kuwait","4"
"Lebanon","2"
"Sri Lanka","2"
"Liberia","2"
"Lithuania","23"
"Luxembourg","8"
"Latvia","15"
"Morocco","6"
"Monaco","3"
"Moldova Republic of","4"
"Myanmar","4"
"Macau","14"
"Malta","6"
"Mauritius","2"
"Mexico","102"
"Malaysia","68"
"Nigeria","9"
"Nicaragua","3"
"Netherlands","408"
"Norway","308"
"New Zealand","237"
"Panama","10"
"Peru","21"
"French Polynesia","2"
"Philippines","51"
"Pakistan","3"
"Poland","79"
"Puerto Rico","7"
"Portugal","79"
"Qatar","18"
"Romania","12"
"Serbia","20"
"Russian Federation","93"
"Saudi Arabia","20"
"Sweden","326"
"Singapore","102"
"Slovenia","71"
"Slovakia","16"
"Thailand","210"
"Turkey","78"
"Taiwan","35"
"Tanzania United Republic of","4"
"Ukraine","27"
"Uganda","1"
"United States","16516"
"Uruguay","3"
"Venezuela","14"
"Virgin Islands U.S.","5"
"Vietnam","66"
"South Africa","191"
