"country_name","total_downloads"
"",4304
"Anonymous Proxy",1083
"Andorra",9
"United Arab Emirates",411
"Afghanistan",4
"Antigua and Barbuda",4
"Albania",4
"Armenia",4
"Angola",22
"Asia/Pacific Region",9
"Argentina",717
"Austria",1038
"Australia",14341
"Aruba",11
"Aland Islands",2
"Azerbaijan",54
"Bosnia and Herzegovina",29
"Barbados",263
"Bangladesh",13
"Belgium",861
"Bulgaria",442
"Bahrain",21
"Benin",6
"Bermuda",289
"Brunei Darussalam",1
"Bolivia",49
"Bonaire, Saint Eustatius and Saba",5
"Brazil",5444
"Bahamas",124
"Bhutan",4
"Botswana",10
"Belarus",163
"Belize",5
"Canada",16542
"Congo",3
"Switzerland",2866
"Cote D'Ivoire",2456
"Chile",664
"Cameroon",314
"China",2910
"Colombia",884
"Costa Rica",234
"Cuba",12
"Cape Verde",32
"Curaï¿½ao",19
"Cyprus",879
"Czech Republic",1331
"Germany",9031
"Denmark",999
"Dominican Republic",373
"Algeria",19
"Ecuador",340
"Estonia",205
"Egypt",136
"Spain",2891
"Europe",278
"Finland",1283
"Fiji",1
"Faroe Islands",7
"France",14634
"Gabon",1
"United Kingdom",20212
"Georgia",58
"Guernsey",4
"Ghana",184
"Gibraltar",36
"Greenland",70
"Guadeloupe",10
"Greece",215
"Guatemala",181
"Guam",8
"Hong Kong",1067
"Honduras",15
"Croatia",462
"Haiti",6
"Hungary",266
"Indonesia",533
"Ireland",1824
"Israel",1169
"Isle of Man",66
"India",2689
"Iraq",60
"Iran, Islamic Republic of",67
"Iceland",295
"Italy",1165
"Jamaica",32
"Jordan",3
"Japan",2949
"Kenya",293
"Kyrgyzstan",12
"Cambodia",186
"Korea, Republic of",1569
"Kuwait",80
"Cayman Islands",108
"Kazakhstan",65
"Lao People's Democratic Republic",12
"Lebanon",15
"Liechtenstein",99
"Sri Lanka",115
"Liberia",2
"Lithuania",232
"Luxembourg",212
"Latvia",264
"Morocco",72
"Monaco",211
"Moldova, Republic of",41
"Saint Martin",1
"Macedonia",13
"Mali",1
"Myanmar",9
"Mongolia",30
"Macau",11
"Martinique",1
"Malta",137
"Mauritius",76
"Maldives",5
"Malawi",1
"Mexico",1247
"Malaysia",732
"Namibia",1
"Niger",2
"Nigeria",352
"Nicaragua",68
"Netherlands",7730
"Norway",2333
"Nepal",23
"New Zealand",1358
"Oman",3
"Panama",27
"Peru",276
"French Polynesia",1
"Papua New Guinea",203
"Philippines",495
"Pakistan",204
"Poland",1069
"Puerto Rico",111
"Palestinian Territory",6
"Portugal",574
"Paraguay",93
"Qatar",60
"Reunion",1
"Romania",719
"Serbia",202
"Russian Federation",836
"Rwanda",83
"Saudi Arabia",187
"Seychelles",11
"Sudan",5
"Sweden",6653
"Singapore",2231
"Slovenia",1479
"Slovakia",190
"Sierra Leone",2
"Senegal",2
"Suriname",1
"El Salvador",13
"Sint Maarten (Dutch part)",1
"Turks and Caicos Islands",37
"Togo",136
"Thailand",1407
"Tunisia",14
"Tonga",5
"Turkey",205
"Trinidad and Tobago",46
"Taiwan",849
"Tanzania, United Republic of",208
"Ukraine",678
"Uganda",10
"United States",196124
"Uruguay",65
"Venezuela",205
"Virgin Islands, British",3
"Virgin Islands, U.S.",1
"Vietnam",399
"Samoa",1
"South Africa",2476
"Zambia",26
"Zimbabwe",24
