"region","requests"
"Anonymous Proxy","9"
"United Arab Emirates","55"
"Albania","2"
"Argentina","29"
"Austria","98"
"Australia","1306"
"Aruba","2"
"Aland Islands","1"
"Bosnia and Herzegovina","13"
"Barbados","4"
"Bangladesh","3"
"Belgium","146"
"Bulgaria","39"
"Bahrain","7"
"Bermuda","12"
"Bolivia","2"
"Brazil","144"
"Bahamas","9"
"Belarus","7"
"Canada","1357"
"Switzerland","136"
"Cote D'Ivoire","1"
"Chile","17"
"China","77"
"Colombia","32"
"Costa Rica","101"
"Cuba","7"
"Curaao","2"
"Cyprus","13"
"Czech Republic","66"
"Germany","716"
"Denmark","63"
"Dominican Republic","13"
"Algeria","6"
"Ecuador","46"
"Estonia","30"
"Egypt","10"
"Spain","180"
"Europe","67"
"Finland","28"
"France","205"
"United Kingdom","1628"
"Georgia","21"
"Ghana","41"
"Greece","16"
"Guatemala","1"
"Guam","6"
"Hong Kong","104"
"Croatia","14"
"Hungary","5"
"Indonesia","24"
"Ireland","167"
"Israel","74"
"Isle of Man","4"
"India","139"
"Iran Islamic Republic of","2"
"Iceland","6"
"Italy","71"
"Jamaica","10"
"Japan","270"
"Kenya","6"
"Cambodia","11"
"Korea Republic of","62"
"Kuwait","7"
"Cayman Islands","4"
"Sri Lanka","7"
"Liberia","1"
"Lithuania","41"
"Luxembourg","11"
"Latvia","9"
"Morocco","6"
"Moldova Republic of","2"
"Macedonia","1"
"Macau","13"
"Malta","9"
"Maldives","2"
"Mexico","112"
"Malaysia","54"
"Namibia","1"
"Nigeria","15"
"Nicaragua","2"
"Netherlands","333"
"Norway","169"
"Nepal","7"
"New Zealand","292"
"Panama","3"
"Peru","5"
"Philippines","64"
"Pakistan","16"
"Poland","95"
"Puerto Rico","8"
"Portugal","63"
"Qatar","5"
"Romania","43"
"Serbia","12"
"Russian Federation","49"
"Saudi Arabia","24"
"Sweden","391"
"Singapore","257"
"Slovenia","35"
"Slovakia","16"
"Swaziland","1"
"Thailand","81"
"Tunisia","1"
"Turkey","58"
"Trinidad and Tobago","1"
"Taiwan","83"
"Tanzania United Republic of","1"
"Ukraine","11"
"United States","13149"
"Uruguay","3"
"Venezuela","3"
"Vietnam","34"
"Mayotte","1"
"South Africa","229"
"Zimbabwe","2"
