"region","requests"
"Anonymous Proxy","15"
"United Arab Emirates","105"
"Antigua and Barbuda","1"
"Albania","4"
"Argentina","34"
"Austria","73"
"Australia","2407"
"Aruba","1"
"Aland Islands","6"
"Bosnia and Herzegovina","2"
"Bangladesh","38"
"Belgium","206"
"Bulgaria","39"
"Bermuda","37"
"Bolivia","6"
"Brazil","301"
"Bahamas","6"
"Belarus","8"
"Canada","2048"
"Switzerland","167"
"Cote D'Ivoire","66"
"Chile","34"
"China","81"
"Colombia","18"
"Costa Rica","13"
"Curaao","6"
"Cyprus","12"
"Czech Republic","210"
"Germany","917"
"Denmark","171"
"Dominican Republic","1"
"Ecuador","16"
"Estonia","27"
"Egypt","19"
"Spain","248"
"Ethiopia","4"
"Europe","5"
"Finland","49"
"Fiji","1"
"France","240"
"United Kingdom","1953"
"Georgia","1"
"Ghana","24"
"Gibraltar","10"
"Greece","23"
"Hong Kong","119"
"Croatia","34"
"Hungary","11"
"Indonesia","13"
"Ireland","311"
"Israel","80"
"Isle of Man","13"
"India","148"
"Iran Islamic Republic of","3"
"Iceland","25"
"Italy","237"
"Jersey","1"
"Jamaica","9"
"Jordan","1"
"Japan","478"
"Kenya","14"
"Kyrgyzstan","7"
"Cambodia","34"
"Saint Kitts and Nevis","1"
"Korea Republic of","62"
"Lebanon","3"
"Sri Lanka","7"
"Lesotho","3"
"Lithuania","10"
"Luxembourg","24"
"Latvia","17"
"Morocco","1"
"Monaco","1"
"Moldova Republic of","20"
"Montenegro","1"
"Myanmar","5"
"Mongolia","5"
"Macau","16"
"Malta","15"
"Mauritius","4"
"Mexico","56"
"Malaysia","62"
"Namibia","7"
"Nigeria","13"
"Netherlands","494"
"Norway","260"
"New Zealand","149"
"Panama","1"
"Peru","29"
"French Polynesia","3"
"Philippines","103"
"Pakistan","1"
"Poland","104"
"Puerto Rico","5"
"Portugal","82"
"Qatar","44"
"Romania","19"
"Serbia","110"
"Russian Federation","86"
"Saudi Arabia","50"
"Sweden","353"
"Singapore","233"
"Slovenia","61"
"Slovakia","9"
"Thailand","77"
"Turkey","11"
"Trinidad and Tobago","3"
"Taiwan","162"
"Ukraine","23"
"United States","22169"
"Uruguay","5"
"Venezuela","121"
"Vietnam","61"
"South Africa","308"
"Zambia","2"
